lag,s2x_PG,s2x_mPG,s2x_PGAS,s2x_mPGAS,s2y_PG,s2y_mPG,s2y_PGAS,s2y_mPGAS
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8252902945346497,0.8479616102056797,0.7315212009161919,0.5336047400990831,0.4822129693589814,0.48826200036252987,0.357949554944862,0.1467884716985695
2,0.7799370859201683,0.7223788083290221,0.6634144384936413,0.3032782926173028,0.39930287462256486,0.2724595983984555,0.30614476049338213,0.0751382608905433
3,0.7456012989431001,0.6168082977488147,0.601982779683028,0.17158844414303198,0.35253341117918247,0.16863294918295757,0.27734215759936326,0.0274555974809784
4,0.7231482785048449,0.524983338058414,0.5593511739030486,0.08530145273854184,0.33064159818709693,0.12263670432824172,0.25568259619309847,0.011996061109623047
5,0.7025812276584775,0.4448965953570227,0.5229463213392902,0.03226707168529038,0.28701219452982724,0.08355375705217401,0.23196292641407792,0.021048848518482637
6,0.6773856641490815,0.37790599642420736,0.47966776898803504,0.017936388692921332,0.2742575392051981,0.050760417572226504,0.19452344286165957,-0.0012537543283256132
7,0.658067295048576,0.32209180000552,0.4437998696654052,-0.0015413489705150213,0.2609702439907385,0.04607323669920144,0.17957188979740107,-0.009479779853509456
8,0.6427371892920987,0.2706245778765902,0.4112306417437601,-0.01702618154204665,0.23266977447659828,0.03987923239984521,0.15889813290512103,-0.009264583331852457
9,0.6285712962792976,0.22949188198769344,0.3972184236377982,-0.021442032777815968,0.2251328476762866,0.03934243069177908,0.15179017824835486,0.0123835476326451
10,0.6099729134438143,0.1939123205263359,0.37388990544931455,-0.014463873575281354,0.22488448862739166,0.04127711550608721,0.1471831286095052,-0.00600616290271877
11,0.5961921064310671,0.15880688497470802,0.35701869746543174,-0.010959480566490565,0.21734180621937785,0.03432550016963774,0.12906961517765173,-0.0003129845382724522
12,0.5827508518554209,0.13158877285816228,0.3331881698774821,-0.01170686578282188,0.19873238980472951,0.029736613461486837,0.12096853238100073,-0.002736467686882182
13,0.5673625638199805,0.11123095524780488,0.3171868901132324,-0.004029247302991119,0.1879002261880612,0.010327368433068094,0.11265046377466872,-0.008262244163249551
