sx_pg,sy_pg,sx_pgas,sy_pgas
3.64805,3.4268,3.85606,3.18392
3.40058,3.40708,3.77545,3.18829
3.12507,3.48999,3.64474,3.10098
3.15284,3.50919,3.68624,3.26671
3.3418,3.42038,3.68171,3.48458
3.19623,3.36894,3.70049,3.30368
3.06592,3.32338,3.72227,3.19544
3.67841,3.32075,3.64578,3.11908
3.1298,3.33346,3.5095,3.41308
3.17771,3.3247,3.49863,3.27552
3.42909,3.4282,3.39929,3.34666
3.42909,3.4282,3.11119,3.28925
3.46167,3.43426,3.58877,3.19496
3.26035,3.51698,3.41142,3.24446
3.26279,3.38288,3.49673,3.14385
3.17813,3.3826,3.36704,3.31311
3.1819,3.35708,3.68854,3.19431
3.08058,3.35244,3.72937,3.27317
3.23432,3.3438,3.64756,3.21776
2.97997,3.4224,3.4946,3.21599
3.16882,3.43622,3.66147,3.26455
3.17858,3.42529,3.46209,3.01791
3.13138,3.39118,3.52649,3.12069
3.28268,3.37157,3.12531,3.3709
3.266,3.45123,3.16716,3.39909
3.03194,3.394,3.67473,3.41417
3.33742,3.40043,3.55902,3.41992
3.36756,3.34617,3.35512,3.31829
3.13632,3.31453,3.43341,3.43084
3.4018,3.3485,3.6029,3.23934
3.38914,3.32288,3.54008,3.09144
3.02767,3.04095,3.25564,3.27952
3.23372,3.21037,3.36499,3.08631
3.47662,3.25552,3.24267,3.3081
3.40176,3.24152,3.49076,3.29474
3.39464,3.309,3.3862,3.07136
3.64394,3.25777,3.53457,3.11981
3.59968,3.22933,3.52728,3.23385
3.55927,3.31577,3.63412,3.18076
3.5258,3.25847,3.67848,3.1425
3.36483,3.2695,3.91141,3.28901
3.75677,3.23086,3.37252,3.22977
3.85915,3.25239,3.64462,3.10639
3.68127,3.28471,3.78459,3.22378
3.09678,3.22148,3.37944,3.25212
3.25495,3.16379,3.80914,3.21469
3.25495,3.16379,3.66508,3.13665
3.00763,3.16758,3.1445,3.04026
3.18462,3.19633,3.71005,3.18826
2.97081,3.2006,3.70526,3.09873
3.49344,3.22925,3.55795,3.24089
3.2391,3.19292,3.58258,3.38944
2.99897,3.23879,3.39753,3.29111
3.42355,3.21381,3.2837,3.32736
3.58803,3.2232,3.26606,3.28409
3.53795,3.18139,3.09838,3.43735
3.2932,3.32552,3.87303,3.43635
3.28745,3.33283,3.67616,3.37495
3.16764,3.34568,3.06681,3.24014
3.41518,3.36879,2.94236,3.21873
3.05561,3.30228,3.25657,3.23891
2.98585,3.34264,3.45959,3.20183
3.24976,3.26317,3.65671,3.30834
3.24976,3.26317,3.43141,3.36572
3.46327,3.21721,3.17563,3.18422
3.32935,3.31543,3.19578,3.28291
3.13313,3.23236,3.35857,3.28841
3.30054,3.20427,3.46771,3.29453
3.43622,3.27535,3.21932,3.39032
3.15223,3.2756,3.24231,3.69471
2.99199,3.31342,3.89724,3.42565
3.20345,3.25943,3.73474,3.37122
3.05389,3.30131,3.75537,3.45753
3.28685,3.36349,3.52637,3.28245
3.47575,3.31078,3.36929,3.05827
3.38789,3.35099,3.3822,3.11741
3.51113,3.6055,3.43126,3.28794
3.55866,3.48786,3.43485,3.30848
3.193,3.52416,3.33279,3.22936
3.33658,3.51444,3.01313,3.22683
3.26471,3.52742,3.24205,3.21128
3.40232,3.56156,3.3985,3.31451
3.71742,3.54867,3.31261,3.24838
3.3826,3.58461,3.26325,3.48201
3.41297,3.52129,3.47716,3.31949
3.4032,3.50718,3.52095,3.09288
3.56831,3.44969,3.68204,3.0994
3.63211,3.46938,3.38648,3.1891
3.59971,3.43471,3.70189,3.10117
3.64298,3.48644,3.56582,3.22509
3.42197,3.40191,3.34782,3.40885
3.74779,3.49192,3.25882,3.14413
3.52534,3.45798,3.54404,3.20929
3.61252,3.38309,3.20599,3.21164
3.81851,3.29358,3.50334,3.28981
3.81137,3.25466,3.41878,3.17905
3.69092,3.27769,3.47151,3.20317
3.7302,3.2583,3.34253,3.38164
3.60991,3.43978,3.29795,3.42055
3.51316,3.49066,3.04074,3.56514
3.13439,3.3817,3.42275,3.63719
3.56823,3.35445,3.16746,3.36616
3.0687,3.48956,3.04499,3.24571
2.82637,3.29835,3.13104,3.17556
3.08587,3.28864,3.22388,3.16486
2.97851,3.33666,3.07343,3.07356
3.15786,3.27858,3.17508,2.97778
3.2628,3.28424,3.02161,3.04911
3.47047,3.29361,3.16095,3.01318
3.47046,3.30334,3.30474,3.25652
3.00814,3.31039,3.37178,3.52955
3.38652,3.35812,3.28679,3.49129
3.24865,3.46366,3.09527,3.26679
2.95259,3.3032,2.94376,3.12298
2.94071,3.35061,2.57581,3.13877
3.11827,3.32829,3.29029,3.07008
3.34493,3.33879,3.3438,3.19799
2.94812,3.37686,3.13183,3.10822
3.41532,3.28728,3.02762,3.24974
3.06085,3.45625,3.13971,3.27869
3.05617,3.43611,3.04873,3.38977
3.46715,3.44717,3.16241,3.30898
3.46715,3.44717,2.80543,3.3427
3.26772,3.46806,3.06336,3.35095
3.21091,3.50739,2.95714,3.2358
3.01086,3.49051,3.57715,3.08197
3.00468,3.51424,3.57675,3.28107
2.91011,3.49442,3.01152,3.30785
3.30571,3.54317,3.27815,3.35294
3.25168,3.49004,3.30971,3.49991
3.27025,3.5365,3.36468,3.4896
3.26706,3.53879,3.17217,3.3813
3.18246,3.59171,3.80279,3.4874
3.01642,3.58051,3.62541,3.377
3.36477,3.65746,3.46666,3.3553
3.14038,3.6256,3.4118,3.1726
3.37934,3.53789,3.60741,3.13882
3.5979,3.66621,3.28293,3.13151
3.79536,3.6728,3.29438,2.98989
3.29798,3.51177,3.45464,3.12757
3.27114,3.47453,3.28411,3.27127
3.61665,3.46767,3.23632,3.30403
3.76155,3.4529,3.57921,3.17393
3.79321,3.51283,3.55644,3.13959
3.54043,3.45869,3.52666,3.25945
3.11214,3.34157,3.3249,3.21982
3.41987,3.34027,3.12197,3.1364
3.42533,3.34659,3.55883,3.18619
3.05733,3.32466,3.51513,3.25306
3.09634,3.46577,3.25483,3.04855
3.4403,3.43311,3.01335,3.11137
3.06992,3.33789,2.85821,3.11886
3.19057,3.3495,3.23426,3.35641
3.27399,3.37132,3.47442,3.26803
3.10225,3.40081,3.90788,3.03651
3.35304,3.29078,3.82383,3.25054
3.34168,3.30553,3.79763,3.10621
3.70758,3.35016,3.90968,3.23411
3.15343,3.53826,3.55951,3.10278
3.67664,3.52824,3.4058,3.08219
3.68986,3.5436,3.40434,3.13703
3.55759,3.54519,3.3945,3.25267
3.66307,3.55526,3.05944,3.06117
3.75474,3.60996,3.23283,3.005
3.52667,3.65412,3.52603,3.12914
3.37319,3.55056,3.3875,3.24796
3.53966,3.50601,3.46441,3.17825
3.30571,3.51541,3.76888,3.18247
3.84845,3.52067,3.61579,3.02236
3.21674,3.6387,3.58342,3.0324
3.52665,3.6961,2.9572,3.13786
3.65087,3.57467,3.11644,3.21863
3.58355,3.6164,3.31246,3.15101
3.35983,3.64894,3.46896,3.2994
3.13128,3.52109,3.70119,3.17289
2.85932,3.44735,3.50106,3.35686
2.92184,3.34203,3.5656,3.14069
2.92191,3.37516,3.61509,3.19298
2.93825,3.34232,3.45665,3.24192
3.86876,3.39414,3.90265,3.3484
3.62319,3.41852,3.98908,3.17586
3.4874,3.43004,3.78824,3.35448
3.56503,3.31637,3.36549,3.24557
3.93474,3.39141,3.14031,3.19245
3.23035,3.43126,3.13632,3.16094
3.341,3.41873,3.52293,3.37026
2.98484,3.41062,3.0766,3.38374
3.69029,3.42177,3.52971,3.31633
3.17585,3.51471,3.49191,3.37238
3.28522,3.39847,3.68443,3.37269
3.56234,3.40891,3.54727,3.39744
3.52948,3.38944,3.16144,3.29722
3.47102,3.44526,3.32657,3.40574
3.59736,3.40644,3.72652,3.20971
3.26017,3.36088,3.48512,3.36611
3.32795,3.40983,3.5751,3.24532
3.44258,3.41318,3.53775,3.28588
3.53063,3.39867,3.62652,3.48521
3.47272,3.39161,3.46699,3.4599
2.95564,3.37931,3.50579,3.25346
3.10774,3.40854,3.34445,3.24393
3.37405,3.43951,3.10994,3.25263
4.02304,3.46636,3.12414,3.13928
3.49562,3.28558,3.18355,2.99127
3.25717,3.26307,3.68819,3.19377
3.5521,3.29887,4.06769,3.16685
3.11771,3.30186,3.62721,2.96543
3.16526,3.24793,3.48163,3.04297
3.46841,3.28672,3.30322,3.11141
3.49249,3.2778,3.49985,3.1593
3.97706,3.2926,3.41758,3.21363
3.20968,3.30929,3.0709,3.14086
3.33291,3.29477,2.86723,3.14731
3.33971,3.3386,3.2339,3.14186
3.53678,3.34573,2.91687,3.14481
3.50416,3.42151,2.80887,3.18338
3.51998,3.44775,2.70353,3.40107
3.48321,3.40752,3.17923,3.36212
3.71146,3.40921,3.32153,3.35457
3.29253,3.38735,3.65887,3.30458
3.56289,3.35759,3.64173,3.35806
3.83318,3.40399,3.57415,3.49024
4.01919,3.37216,3.40795,3.4463
3.46529,3.36256,3.40333,3.48767
3.6809,3.3487,3.33034,3.49329
3.91593,3.40763,4.06749,3.32709
3.80164,3.40003,4.08271,3.23718
3.66832,3.44055,3.16389,3.33957
3.97564,3.34218,3.16623,3.40775
3.58132,3.35288,3.32732,3.16227
4.04352,3.32294,3.03491,3.25672
3.41591,3.3167,2.64286,3.29643
3.47226,3.35054,2.56068,3.5266
3.6898,3.33368,3.02988,3.25442
3.50964,3.38127,3.14309,3.28216
2.99472,3.37417,3.23849,3.22561
3.34549,3.3891,3.08058,3.30956
3.53015,3.45365,3.07219,3.24386
3.08263,3.38827,3.05984,3.23952
3.341,3.36022,3.61752,3.29412
3.35691,3.34301,3.61466,3.10988
3.29981,3.35008,3.47466,3.30609
3.32803,3.35807,3.77525,3.47741
3.02415,3.27987,3.49895,3.35919
2.99961,3.29549,3.48623,3.32168
3.22612,3.36057,3.43748,3.22016
3.11892,3.33936,3.0513,3.14623
3.36511,3.3414,3.0473,3.24933
3.05116,3.31756,3.16472,3.19277
3.56453,3.35973,3.12489,3.39177
3.41832,3.34733,3.38027,3.27967
3.4498,3.34712,3.6379,3.33793
3.02859,3.32262,3.59841,3.39631
3.38348,3.39715,3.89652,3.14625
3.69582,3.33713,3.37271,3.12689
3.81037,3.30079,3.30326,3.33468
3.29539,3.47018,3.66785,3.04343
3.54788,3.3983,3.32099,3.21425
3.49029,3.41447,3.02416,3.15655
3.52659,3.36307,3.07384,3.03899
3.33929,3.30419,3.00219,3.05912
3.36449,3.34734,3.52013,3.00918
3.71273,3.30957,3.47361,3.20064
3.44467,3.29677,3.40112,3.30801
3.25884,3.28963,3.09062,3.20866
3.35085,3.29894,2.97433,3.18003
3.46701,3.34123,2.97277,3.26597
3.49157,3.33961,3.44714,3.27904
3.37966,3.27069,3.23589,3.17495
3.09283,3.36219,3.12412,3.22069
3.14289,3.36768,3.1563,3.25329
3.67741,3.42346,3.12434,3.2852
3.03667,3.4653,2.95252,3.14065
3.56257,3.45206,3.01221,3.18467
3.02335,3.48098,2.81383,3.17234
3.31531,3.48315,3.03761,3.19236
3.20956,3.5282,3.1996,3.04112
3.30124,3.41249,3.23278,3.23691
3.30978,3.46995,3.38477,3.16571
3.07285,3.37289,3.60133,3.24578
2.87324,3.46814,3.72821,3.20438
2.93853,3.50766,3.4676,3.28138
3.08839,3.50271,3.17787,3.11761
3.10504,3.50588,3.47569,3.33472
3.81653,3.43446,3.38424,3.31072
3.61731,3.48997,3.16588,3.2947
2.94596,3.49761,3.42429,3.15448
3.2319,3.41552,3.25775,3.09963
2.89555,3.49419,3.48634,3.21925
3.246,3.49406,3.44128,3.4009
3.31578,3.44441,3.78353,3.51864
3.50666,3.46622,3.90894,3.20462
3.32687,3.48848,3.6055,3.23216
3.25217,3.44605,3.25469,3.3292
3.2247,3.51711,3.53436,3.2186
3.27396,3.41886,3.32429,3.24887
3.59143,3.42115,2.99934,3.14548
3.33549,3.37851,3.21621,3.13711
3.09506,3.48439,3.38084,3.14208
3.03809,3.4771,3.19185,3.40302
3.28419,3.4222,3.0203,3.36183
3.31061,3.43089,3.11662,3.27848
3.71145,3.45397,3.23562,3.18376
3.19342,3.48653,3.02144,3.23017
3.14361,3.48826,2.76086,3.2236
3.37503,3.4549,3.26407,3.41117
